id,permissionName,displayName,description,subPermissions
11,"demo.role-copy-cataloger","Demo role-copy-cataloger","Demo version of role-copy-cataloger","ui-inventory.items.mark-withdrawn.execute,ui-inventory.holdings.move,ui-inventory.item.move,ui-inventory.instance.edit,ui-inventory.holdings.delete,ui-inventory.item.delete,ui-inventory.item.mark-as-missing.execute,ui-inventory.settings.list.view,ui-data-export.settings.view,ui-data-import.settings.manage,ui-data-export.view,ui-quick-marc.quick-marc-editor.all"
12,"demo.role-erm-observer","Demo role-erm-observer","Demo version of role-erm-observer","ui-agreements.agreements.view,ui-agreements.resources.view,ui-agreements.platforms.view,ui-dashboard.dashboards.manage,ui-eholdings.app.view,ui-eholdings.costperuse.view,ui-erm-comparisons.jobs.view,ui-local-kb-admin.kbs.view,ui-local-kb-admin.proxyServer.view,ui-licenses.licenses.view,ui-local-kb-admin.jobs.view,ui-notes.item.view,ui-orders.orders.view,ui-organizations.view,ui-agreements.supplementaryProperties.view,ui-agreements.appSettings.view,ui-agreements.generalSettings.view,ui-agreements.picklists.view,ui-licenses.appSettings.view,ui-licenses.terms.view,ui-licenses.picklists.view,ui-users.view"
13,"demo.role-checkout-all","Demo role-checkout-all","Demo version of role-checkout-all","ui-checkout.all"
14,"demo.role-circ-admin","Demo role-circ-admin","Demo version of role-circ-admin","ui-checkin.all,ui-checkout.all,ui-circulation-log.log-event.all,ui-courses.all,ui-plugin-create-inventory-records.create,ui-users.fee-fine-actions.all,ui-users.accounts.all,ui-inventory.instance.view,ui-inventory.item.mark-as-missing.execute,ui-notes.item.assign-unassign.execute,ui-notes.item.create,ui-notes.item.delete,ui-notes.item.edit,ui-notes.item.view,ui-requests.all,ui-calendar.view,ui-calendar.create,ui-calendar.update,ui-calendar.delete,ui-circulation.settings.cancellation-reasons,ui-circulation.settings.edit-circulation-rules,ui-circulation.settings.fixed-due-date-schedules,ui-circulation.settings.loan-policies,ui-circulation.settings.lost-item-fees-policies,ui-circulation.settings.notice-policies,ui-circulation.settings.other-settings,ui-circulation.settings.overdue-fines-policies,ui-circulation.settings.notice-templates,ui-circulation.settings.request-policies,ui-circulation.settings.staff-slips,ui-circulation.settings.loan-history,ui-courses.maintain-settings,ui-users.settings.feefines.all,ui-tags.view,ui-tags.all,ui-users.perms.edit,ui-users.user-service-points.edit,ui-users.create,ui-users.feesfines.actions.all,ui-users.patron-blocks.all,ui-users.proxies.all,ui-users.edit,ui-users.perms.view,ui-users.proxies.view,ui-users.user-service-points.view,ui-users.view,ui-users.reset.password,ui-users.loans-due-date.edit,ui-users.loans-claim-item-returned.execute,ui-users.loans-declare-item-lost.execute,ui-users.loans-declare-claimed-returned-item-as-missing.execute,ui-users.loans-renew-override.create,ui-users.loans-renew.create,ui-users.loans.view,ui-users.requests.all"
15,"demo.role-metadata-admin","Demo role-metadata-admin","Demo version of role-metadata-admin","ui-inventory.holdings.move,ui-inventory.item.move,ui-inventory.instance.edit,ui-inventory.holdings.delete,ui-inventory.item.delete,ui-inventory.item.mark-as-missing.execute,ui-inventory.settings.hrid-handling,ui-inventory.settings.ill-policies,ui-inventory.settings.instance-note-types,ui-inventory.settings.electronic-access-relationships,ui-inventory.settings.alternative-title-types,ui-inventory.settings.call-number-types,ui-inventory.settings.classification-types,ui-inventory.settings.contributor-types,ui-inventory.settings.instance-formats,ui-inventory.settings.holdings-note-types,ui-inventory.settings.holdings-types,ui-inventory.settings.instance-statuses,ui-inventory.settings.item-note-types,ui-inventory.settings.loan-types,ui-inventory.settings.modes-of-issuance,ui-inventory.settings.instance-types,ui-inventory.settings.material-types,ui-inventory.settings.nature-of-content-terms,ui-inventory.settings.identifier-types,ui-inventory.settings.statistical-code-types,ui-inventory.settings.statistical-codes,ui-inventory.settings.list.view,ui-data-import.settings.manage,ui-data-export.edit,ui-data-export.settings.edit,ui-quick-marc.quick-marc-editor.all,ui-quick-marc.quick-marc-editor.derive.execute"
16,"demo.role-oa-admin","Demo role-oa-admin","Demo version of role-oa-admin","ui-agreements.agreements.delete,ui-agreements.agreements.edit,ui-agreements.resources.edit,ui-agreements.platforms.edit,ui-agreements.agreements.file.download,ui-agreements.agreements.view,ui-agreements.resources.view,ui-agreements.platforms.view,ui-dashboard.dashboards.manage,ui-plugin-find-agreement.search,ui-invoice.invoice.approve.execute,ui-invoice.acq.unit.assignment.assign,ui-invoice.invoice.create,ui-invoice.invoice.delete,ui-invoice.invoice.cancel.execute,ui-invoice.invoice.pay.execute,ui-invoice.voucher.export.execute,ui-oa.all-open-access.manage,ui-oa.allSettings.manage"
17,"demo.role-oa-manager","Demo role-oa-manager","Demo version of role-oa-manager","ui-agreements.agreements.delete,ui-agreements.agreements.edit,ui-agreements.resources.edit,ui-agreements.platforms.edit,ui-agreements.agreements.file.download,ui-agreements.agreements.view,ui-agreements.resources.view,ui-agreements.platforms.view,ui-dashboard.dashboards.manage,ui-plugin-find-agreement.search,ui-invoice.invoice.approve.execute,ui-invoice.acq.unit.assignment.assign,ui-invoice.invoice.create,ui-invoice.invoice.delete,ui-invoice.invoice.cancel.execute,ui-invoice.invoice.pay.execute,ui-invoice.voucher.export.execute,ui-oa.all-open-access.manage"
18,"demo.role-circ-observer","Demo role-circ-observer","Demo version of role-circ-observer","ui-checkin.all,ui-checkout.circulation.execute,ui-inventory.instance.view,ui-notes.item.view,ui-users.feesfines.view,ui-users.proxies.view,ui-users.user-service-points.view,ui-users.view,ui-users.loans.view,ui-users.requests.all"
19,"demo.role-technical-service-staff","Demo role-technical-service-staff","Demo version of role-technical-service-staff","ui-inventory.items.mark-withdrawn.execute,ui-inventory.holdings.move,ui-inventory.item.move,ui-inventory.instance.edit,ui-inventory.holdings.delete,ui-inventory.item.delete,ui-inventory.item.mark-as-missing.execute,ui-inventory.settings.hrid-handling,ui-inventory.settings.ill-policies,ui-inventory.settings.instance-note-types,ui-inventory.settings.electronic-access-relationships,ui-inventory.settings.alternative-title-types,ui-inventory.settings.call-number-types,ui-inventory.settings.classification-types,ui-inventory.settings.contributor-types,ui-inventory.settings.instance-formats,ui-inventory.settings.holdings-note-types,ui-inventory.settings.holdings-types,ui-inventory.settings.instance-statuses,ui-inventory.settings.item-note-types,ui-inventory.settings.loan-types,ui-inventory.settings.modes-of-issuance,ui-inventory.settings.instance-types,ui-inventory.settings.material-types,ui-inventory.settings.nature-of-content-terms,ui-inventory.settings.identifier-types,ui-inventory.settings.statistical-code-types,ui-inventory.settings.statistical-codes,ui-inventory.settings.list.view,ui-data-export.settings.edit,ui-data-import.settings.manage,ui-data-export.edit,ui-data-import.logs.delete,ui-data-import.manage,ui-data-import.settings.manage,ui-quick-marc.quick-marc-editor.all,ui-quick-marc.quick-marc-editor.derive.execute"
20,"demo.role-user-admin","Demo role-user-admin","Demo version of role-user-admin","ui-users.view,ui-users.edit,ui-users.create,ui-developer.settings.passwd"
21,"demo.role-data-export-admin","Demo role-data-export-admin","Demo version of role-data-export-admin","ui-data-export.settings.edit"
22,"demo.role-data-export","Demo role-data-export","Demo version of role-data-export","ui-data-export.edit,ui-data-export.settings.edit"
23,"demo.role-data-import","Demo role-data-import","Demo version of role-data-import","ui-inventory.all,ui-inventory.settings.list.view,ui-data-import.settings.manage,ui-data-import.settings.readOnly,ui-data-import.manage,ui-data-import.logs.delete,ui-invoice.acq.unit.assignment.assign,ui-invoice.invoice.create,ui-invoice.invoice.delete,ui-invoice.settings.all"
24,"demo.role-erm-admin","Demo role-erm-admin","Demo version of role-erm-admin","ui-agreements.agreements.delete,ui-agreements.agreements.edit,ui-agreements.resources.edit,ui-agreements.platforms.edit,ui-agreements.agreements.file.download,ui-agreements.agreements.view,ui-agreements.resources.view,ui-agreements.platforms.view,ui-dashboard.dashboards.manage,ui-dashboard.dashboards.admin.manage,ui-eholdings.titles-packages.create-delete.manage,ui-eholdings.records.edit,ui-eholdings.package-title.select-unselect.execute,ui-eholdings.costperuse.view,ui-erm-comparisons.jobs.edit,ui-erm-comparisons.jobs.delete,ui-erm-comparisons.jobs.view,ui-plugin-find-agreement.search,ui-plugin-find-eresource.search,ui-plugin-find-license.search,ui-licenses.licenses.view,ui-licenses.licenses.edit,ui-licenses.licenses.file.download,ui-licenses.licenses.delete,ui-local-kb-admin.jobs.edit,ui-local-kb-admin.jobs.delete,ui-local-kb-admin.proxyServer.manage,ui-local-kb-admin.kbs.manage,ui-local-kb-admin.jobs.view,ui-notes.item.assign-unassign.execute,ui-notes.item.create,ui-notes.item.delete,ui-notes.item.edit,ui-notes.item.view,ui-orders.acq.unit.assignment.assign,ui-orders.orders.create,ui-orders.orders.delete,ui-orders.orders.edit,ui-orders.acq.unit.assignment.manage,ui-orders.order.reopen,ui-orders.order.unopen,ui-orders.orders.view,ui-organizations.acqUnits.assign,ui-organizations.creds.view,ui-organizations.creds.manage,ui-organizations.acqUnits.manage,ui-organizations.view,ui-organizations.edit,ui-organizations.create,ui-organizations.delete,ui-agreements.generalSettings.manage,ui-agreements.supplementaryProperties.manage,ui-agreements.picklists.manage,ui-agreements.appSettings.manage,ui-eholdings.settings.assignedUser.edit,ui-eholdings.settings.kb.edit,ui-eholdings.settings.kb.delete,ui-eholdings.settings.root-proxy.edit,ui-eholdings.settings.enabled,ui-eholdings.settings.access-types.create-edit,ui-eholdings.settings.access-types.all,ui-eholdings.settings.custom-labels.edit,ui-eholdings.settings.access-types.view,ui-eholdings.settings.usage-consolidation.create-edit,ui-licenses.picklists.manage,ui-licenses.terms.manage,ui-licenses.appSettings.manage,ui-users.perms.edit,ui-users.user-service-points.edit,ui-users.create,ui-users.feesfines.actions.all,ui-users.patron-blocks.all,ui-users.proxies.all,ui-users.edit,ui-users.perms.view,ui-users.proxies.view,ui-users.user-service-points.view,ui-users.view,ui-users.reset.password"
25,"demo.role-erm-manager","Demo role-erm-manager","Demo version of role-erm-manager","ui-agreements.agreements.delete,ui-agreements.agreements.edit,ui-agreements.resources.edit,ui-agreements.platforms.edit,ui-agreements.agreements.file.download,ui-dashboard.dashboards.manage,ui-eholdings.titles-packages.create-delete.manage,ui-eholdings.records.edit,ui-eholdings.package-title.select-unselect.execute,ui-eholdings.costperuse.view,ui-erm-comparisons.jobs.edit,ui-erm-comparisons.jobs.delete,ui-plugin-find-agreement.search,ui-plugin-find-eresource.search,ui-plugin-find-license.search,ui-licenses.licenses.edit,ui-licenses.licenses.file.download,ui-licenses.licenses.delete,ui-local-kb-admin.jobs.edit,ui-local-kb-admin.jobs.delete,ui-local-kb-admin.proxyServer.view,ui-local-kb-admin.kbs.view,ui-notes.item.assign-unassign.execute,ui-notes.item.create,ui-notes.item.delete,ui-notes.item.edit,ui-notes.item.view,ui-orders.orders.create,ui-orders.orders.delete,ui-orders.orders.edit,ui-orders.order.reopen,ui-orders.order.unopen,ui-orders.orders.view,ui-organizations.creds.manage,ui-organizations.create,ui-organizations.delete,ui-agreements.appSettings.view,ui-licenses.appSettings.view,ui-users.view"
